data type,image_names,label,Xmax,Ymax,Xmin,Ymin
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.7314917,0.46619216,0.59116024,0.39145908
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.7779006,0.33274022,0.5900552,0.27402136
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.7657459,0.7224199,0.5801105,0.62811387
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.32928178,0.22064057,0.002209945,0.099644125
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.76132596,0.95373666,0.5745856,0.85765123
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.5867403,0.29715303,0.4762431,0.24733096
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.58563536,0.8291815,0.45414364,0.73131675
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.33038673,0.5177936,0.013259669,0.4430605
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.77679557,0.5053381,0.5845304,0.42704627
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.3116022,0.7046263,0.016574586,0.5996441
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.5966851,0.68149465,0.46850827,0.6014235
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.37900552,0.41814947,0.017679557,0.28647688
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.59447515,0.48754448,0.48066297,0.4163701
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.7756906,0.28825623,0.5845304,0.23487544
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.3524862,0.69572955,0.006629834,0.6032028
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.7513812,0.6761566,0.5779005,0.59786475
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.33812153,0.81850535,0.016574586,0.7241993
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.5900552,0.61209965,0.46187845,0.54092526
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.6243094,0.4128114,0.48287293,0.33096084
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.7535912,0.2188612,0.5955801,0.16903915
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.59337014,0.9039146,0.47182322,0.8113879
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.33370167,0.6174377,0.017679557,0.52491105
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.7635359,0.6014235,0.5834254,0.52491105
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.3314917,0.9288256,0.017679557,0.81850535
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.59337014,0.76868325,0.46961325,0.6743772
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.3403315,0.44483986,0.01878453,0.37366548
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.60662985,0.5355872,0.47955802,0.4644128
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.7955801,0.3772242,0.5900552,0.3113879
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.7657459,0.86654806,0.5878453,0.77046263
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.7679558,0.76512456,0.5900552,0.6761566
TRAIN,126-2020-04-29T12:29:25.085Z.jpg,pallets,0.3082873,0.25444838,0.003314917,0.15480427
TRAIN,88-2020-04-29T12:29:25.085Z.jpg,pallets,0.99110323,0.93772244,0.33096084,0.06939502
TRAIN,88-2020-04-29T12:29:25.085Z.jpg,pallets,0.33096084,0.7989324,0.005338078,0.52491105
TRAIN,88-2020-04-29T12:29:25.085Z.jpg,pallets,0.34163702,0.569395,0.003558719,0.35409254
TRAIN,88-2020-04-29T12:29:25.085Z.jpg,pallets,0.33274022,0.4466192,0.001779359,0.22241993
TRAIN,88-2020-04-29T12:29:25.085Z.jpg,pallets,0.33629894,0.93772244,0.005338078,0.66014236
TRAIN,88-2020-04-29T12:29:25.085Z.jpg,pallets,0.36298934,0.67793596,0.007117438,0.46263346
TRAIN,254-2020-04-29T12:29:25.085Z.jpg,pallets,0.9611054,0.95348835,0.011258956,0.010733453
TRAIN,422-2020-04-29T12:29:25.086Z.jpg,pallets,0.16266666,0.78647685,0.001333333,0.5
TRAIN,575-2020-04-29T12:39:21.327Z.jpg,,0,0,0,0
TRAIN,279-2020-04-29T12:29:25.085Z.jpg,pallets,0.9946619,0.886121,0.012455516,0.12633452
TRAIN,190-2020-04-29T12:29:25.085Z.jpg,pallets,0.9580348,0.9607843,0.061412487,0.03267974
TRAIN,465-2020-04-29T12:29:25.086Z.jpg,pallets,0.35005116,0.90645164,0.012282497,0.44516128
TRAIN,465-2020-04-29T12:29:25.086Z.jpg,pallets,0.6448311,0.82903224,0.3623337,0.3516129
TRAIN,465-2020-04-29T12:29:25.086Z.jpg,pallets,0.9703173,0.8483871,0.68065506,0.38064516
TRAIN,369-2020-04-29T12:29:25.086Z.jpg,pallets,0.97686833,0.76690394,0.021352313,0.23131673
TRAIN,70-2020-04-29T12:29:25.085Z.jpg,pallets,0.95905834,0.8744856,0.04094166,0.13374485
TRAIN,175-2020-04-29T12:29:25.085Z.jpg,pallets,0.98157626,0.51263535,0.8444217,0.4169675
TRAIN,175-2020-04-29T12:29:25.085Z.jpg,pallets,0.42579323,0.8375451,0.005117707,0.57761735
TRAIN,175-2020-04-29T12:29:25.085Z.jpg,pallets,0.41555783,0.9530686,0.018423745,0.7364621
TRAIN,175-2020-04-29T12:29:25.085Z.jpg,pallets,0.9836233,0.35920578,0.84032756,0.27075812
TRAIN,175-2020-04-29T12:29:25.085Z.jpg,pallets,0.97236437,0.9620939,0.5629478,0.39711192
TRAIN,175-2020-04-29T12:29:25.085Z.jpg,pallets,0.98567045,0.15162455,0.62845445,0.010830325
TRAIN,175-2020-04-29T12:29:25.085Z.jpg,pallets,0.98157626,0.21841155,0.6345957,0.09386282
TRAIN,175-2020-04-29T12:29:25.085Z.jpg,pallets,0.49539405,0.39891696,0.17195496,0.16787003
TRAIN,175-2020-04-29T12:29:25.085Z.jpg,pallets,0.4247697,0.72743684,0.016376663,0.5198556
TRAIN,175-2020-04-29T12:29:25.085Z.jpg,pallets,0.4462641,0.6498195,0.001023541,0.35740072
TRAIN,175-2020-04-29T12:29:25.085Z.jpg,pallets,0.98567045,0.29241878,0.8454452,0.24368231
TRAIN,175-2020-04-29T12:29:25.085Z.jpg,pallets,0.9825998,0.4404332,0.8362334,0.33393502
TRAIN,175-2020-04-29T12:29:25.085Z.jpg,pallets,0.419652,0.9025271,0.016376663,0.6714801
TRAIN,175-2020-04-29T12:29:25.085Z.jpg,pallets,0.79631525,0.38808665,0.35209826,0.1732852
TRAIN,90-2020-04-29T12:29:25.085Z.jpg,,0,0,0,0
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.15955983,0.42391303,0.04264099,0.35461956
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.95315313,0.29181495,0.58198196,0.24911033
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.1471802,0.22961956,0.037138928,0.16168478
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.94954956,0.74733096,0.56216216,0.69928825
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.15268226,0.32201087,0.037138928,0.2459239
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.9207207,0.5177936,0.57297295,0.46797153
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.963964,0.07473309,0.5981982,0.001779359
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.9459459,0.24911033,0.5855856,0.18327402
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.9441441,0.6975089,0.56576574,0.6548043
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.16231087,0.125,0.024759285,0.058423914
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.96936935,0.8024911,0.5675676,0.7455516
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.9567568,0.38256228,0.5783784,0.33274022
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.15543328,0.3790761,0.039889958,0.30027175
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.92432433,0.92348754,0.5603604,0.87010676
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.9459459,0.34519574,0.5873874,0.27402136
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.15405777,0.14402173,0.028885832,0.08016305
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.963964,0.4252669,0.5891892,0.37366548
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.93873876,0.5676157,0.5783784,0.52313167
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.13755158,0.2785326,0.024759285,0.2201087
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.93873876,0.8825623,0.55135137,0.8274021
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.9945946,0.12989324,0.55135137,0.040925268
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.15680881,0.4728261,0.046767537,0.40625
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.93873876,0.6530249,0.56396395,0.61032027
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.32599726,0.26494566,0.23796424,0.19565217
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.981982,0.19217081,0.56576574,0.14056939
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.94054055,0.8380783,0.55675673,0.78291816
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.9837838,0.17081851,0.5675676,0.12455516
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.17193948,0.5163044,0.041265473,0.46331522
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.93873876,0.61565834,0.5603604,0.56049824
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.92252254,0.95907474,0.54774773,0.9074733
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.3287483,0.2173913,0.23246217,0.14673913
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.14442916,0.1861413,0.035763413,0.11277174
TRAIN,330-2020-04-29T12:29:25.086Z.jpg,pallets,0.9441441,0.4644128,0.5855856,0.42882562
TRAIN,315-2020-04-29T12:29:25.086Z.jpg,pallets,0.88,0.56405693,0.1472,0.16903915
TRAIN,315-2020-04-29T12:29:25.086Z.jpg,pallets,0.28,0.73309606,0.1456,0.31672597
TRAIN,315-2020-04-29T12:29:25.086Z.jpg,pallets,0.768,0.80071175,0.2672,0.57295376
TRAIN,315-2020-04-29T12:29:25.086Z.jpg,pallets,0.56,0.40925267,0.192,0.13167259
TRAIN,315-2020-04-29T12:29:25.086Z.jpg,pallets,0.8304,0.72953737,0.2544,0.51067615
TRAIN,315-2020-04-29T12:29:25.086Z.jpg,pallets,0.704,0.92348754,0.2816,0.702847
TRAIN,315-2020-04-29T12:29:25.086Z.jpg,pallets,0.7424,0.8558719,0.2688,0.6405694
TRAIN,315-2020-04-29T12:29:25.086Z.jpg,pallets,0.8384,0.64768684,0.2464,0.41459075
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.1273326,0.43206522,0.0636663,0.38722825
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.9701493,0.21771218,0.49850747,0.15313654
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.4840834,0.5298913,0.31174535,0.45244566
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.9208955,0.84501845,0.47462687,0.65498155
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.467618,0.61141306,0.29308453,0.53532606
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.47530186,0.2730978,0.30296376,0.21059783
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.9089552,0.5461255,0.46567163,0.46309963
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.4862788,0.4728261,0.30735457,0.40081522
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.9164179,0.42250922,0.48059702,0.33948338
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.2963776,0.5217391,0.18111965,0.44429347
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.47639957,0.5788044,0.30296376,0.49456522
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.46212953,0.6548913,0.2996707,0.58016306
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.8731343,0.6808118,0.47462687,0.5498155
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.9462687,0.37453875,0.51492536,0.24907748
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.45993415,0.69157606,0.30406147,0.6005435
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.43798023,0.8220109,0.30515915,0.66983694
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.8791045,0.90221405,0.48358208,0.7121771
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.12952799,0.3736413,0.0636663,0.33016303
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.8686567,0.61623615,0.45074627,0.49630997
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.9268657,0.48523986,0.49701494,0.41328412
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.49396268,0.36548913,0.30845225,0.29483697
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.8985075,0.76014763,0.47462687,0.5848709
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.27991217,0.1576087,0.1492865,0.11277174
TRAIN,388-2020-04-29T12:29:25.086Z.jpg,pallets,0.29527992,0.42798913,0.17343578,0.36956522
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.576,0.54092526,0.41466665,0.46797153
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.76933336,0.5960854,0.56,0.5035587
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.5426667,0.7935943,0.4,0.71708184
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.55733335,0.32562277,0.32266667,0.2366548
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.79333335,0.8380783,0.5453333,0.75266904
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.5373333,0.6761566,0.40933332,0.59074736
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.8066667,0.71708184,0.5506667,0.63879
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.5466667,0.92704624,0.41333333,0.84875447
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.55333334,0.33985764,0.35333332,0.2597865
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.56133336,0.41459075,0.396,0.3558719
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.5413333,0.61032027,0.404,0.5338078
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.808,0.63879,0.54933333,0.5711744
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.54933333,0.8558719,0.40133333,0.7882562
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.77466667,0.8985765,0.54933333,0.81672597
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.5426667,0.7241993,0.41866666,0.6565836
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.56666666,0.24021353,0.33466667,0.16192171
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.796,0.78291816,0.55466664,0.69572955
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.556,0.3985765,0.33866668,0.3113879
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.564,0.47153026,0.412,0.41814947
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.5506667,0.5747331,0.416,0.49822065
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.76133335,0.6209964,0.55866665,0.54448396
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.5173333,0.81850535,0.41333333,0.7597865
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.7826667,0.8647687,0.5413333,0.7775801
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.54,0.702847,0.41466665,0.62989324
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.81866664,0.7455516,0.54,0.66014236
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.548,0.37544483,0.34133333,0.2935943
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.548,0.4430605,0.40933332,0.37900355
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.548,0.63345194,0.41066667,0.55516016
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.7866667,0.6886121,0.552,0.6032028
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.5373333,0.886121,0.412,0.81672597
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.55733335,0.2935943,0.33866668,0.19395018
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.772,0.93772244,0.5426667,0.8505338
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.53866667,0.76156586,0.43733335,0.6850534
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.78,0.8274021,0.548,0.73843414
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.7773333,0.5498221,0.54933333,0.4644128
TRAIN,188-2020-04-29T12:29:25.085Z.jpg,pallets,0.56,0.5124555,0.408,0.44483986
TRAIN,442-2020-04-29T12:29:25.086Z.jpg,pallets,0.9088507,0.93772244,0.07926024,0.4911032
TRAIN,165-2020-04-29T12:29:25.085Z.jpg,pallets,0.31398106,0.34519574,0.002369668,0.12099644
TRAIN,165-2020-04-29T12:29:25.085Z.jpg,pallets,0.31872037,0.71708184,0.004739337,0.51067615
TRAIN,165-2020-04-29T12:29:25.085Z.jpg,pallets,0.9158768,0.29893237,0.29383886,0.040925268
TRAIN,165-2020-04-29T12:29:25.085Z.jpg,pallets,0.99763036,0.94128114,0.28672987,0.49288255
TRAIN,165-2020-04-29T12:29:25.085Z.jpg,pallets,0.99526066,0.7099644,0.2985782,0.29715303
TRAIN,165-2020-04-29T12:29:25.085Z.jpg,pallets,0.23696682,0.90213525,0.002369668,0.7010676
TRAIN,165-2020-04-29T12:29:25.085Z.jpg,pallets,0.3270142,0.49644127,0.002369668,0.3202847
TRAIN,58-2020-04-29T12:29:25.085Z.jpg,pallets,0.94533336,0.7918149,0.048,0.29715303
TRAIN,449-2020-04-29T12:29:25.086Z.jpg,,0,0,0,0
TRAIN,555-2020-04-29T12:39:21.326Z.jpg,pallets,0.986694,0.5480427,0.52200615,0.110320285
TRAIN,555-2020-04-29T12:39:21.326Z.jpg,pallets,0.5107472,0.49466193,0.024564994,0.024911031
TRAIN,555-2020-04-29T12:39:21.326Z.jpg,pallets,0.7584442,0.95729536,0.057318322,0.52491105
TRAIN,119-2020-04-29T12:29:25.085Z.jpg,pallets,0.99601066,0.98743016,0.003989362,0.61452514
TRAIN,492-2020-04-29T12:29:25.086Z.jpg,pallets,0.93244624,0.12228797,0.6663255,0.015779093
TRAIN,492-2020-04-29T12:29:25.086Z.jpg,pallets,0.93756396,0.4852071,0.6642784,0.37475345
TRAIN,492-2020-04-29T12:29:25.086Z.jpg,pallets,0.9283521,0.9704142,0.4401228,0.40236688
TRAIN,492-2020-04-29T12:29:25.086Z.jpg,pallets,0.9703173,0.39250493,0.66734904,0.2800789
TRAIN,492-2020-04-29T12:29:25.086Z.jpg,pallets,0.4493347,0.9723866,0.013306038,0.59368837
TRAIN,492-2020-04-29T12:29:25.086Z.jpg,pallets,0.94472873,0.31755424,0.6612078,0.19132149
TRAIN,492-2020-04-29T12:29:25.086Z.jpg,pallets,0.95189357,0.23274162,0.66325486,0.13017751
TRAIN,145-2020-04-29T12:29:25.085Z.jpg,pallets,0.99763036,0.5177936,0.6255924,0.40213522
TRAIN,145-2020-04-29T12:29:25.085Z.jpg,pallets,0.5793839,0.9288256,0.15521327,0.83096087
TRAIN,145-2020-04-29T12:29:25.085Z.jpg,pallets,0.6184834,0.49644127,0.11848341,0.38256228
TRAIN,145-2020-04-29T12:29:25.085Z.jpg,pallets,0.60900474,0.22953737,0.14691943,0.1227758
TRAIN,145-2020-04-29T12:29:25.085Z.jpg,pallets,0.5829384,0.7580071,0.14810427,0.6441281
TRAIN,145-2020-04-29T12:29:25.085Z.jpg,pallets,0.6255924,0.39323843,0.11848341,0.2758007
TRAIN,145-2020-04-29T12:29:25.085Z.jpg,pallets,0.9703792,0.92170817,0.59241706,0.8131673
TRAIN,145-2020-04-29T12:29:25.085Z.jpg,pallets,0.943128,0.32384342,0.6421801,0.20996441
TRAIN,145-2020-04-29T12:29:25.085Z.jpg,pallets,0.99526066,0.613879,0.6184834,0.48754448
TRAIN,145-2020-04-29T12:29:25.085Z.jpg,pallets,0.98578197,0.13345195,0.62322277,0.026690392
TRAIN,145-2020-04-29T12:29:25.085Z.jpg,pallets,0.9893365,0.841637,0.5900474,0.727758
TRAIN,145-2020-04-29T12:29:25.085Z.jpg,pallets,1,0.2188612,0.6244076,0.10854092
TRAIN,145-2020-04-29T12:29:25.085Z.jpg,pallets,0.62085307,0.588968,0.11374407,0.47864768
TRAIN,145-2020-04-29T12:29:25.085Z.jpg,pallets,0.60189575,0.29537368,0.13744076,0.19395018
TRAIN,145-2020-04-29T12:29:25.085Z.jpg,pallets,0.578199,0.8380783,0.15402843,0.75266904
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.95625633,0.32608697,0.83214647,0.25
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.623946,0.6824324,0.40809444,0.5923423
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.54468805,0.3918919,0.3153457,0.31756756
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.4030354,0.8445946,0.311973,0.7725225
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.5514334,0.27702704,0.32209107,0.22072072
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.61551434,0.9189189,0.4232715,0.8378378
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.85328835,0.6734234,0.72006744,0.6171171
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.41315347,0.6824324,0.3153457,0.6126126
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.9521872,0.1861413,0.83214647,0.1290761
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.86003375,0.545045,0.70826304,0.4774775
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.846543,0.7635135,0.68296796,0.6891892
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.6290051,0.7477477,0.40134907,0.6396396
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.4030354,0.6441441,0.32715008,0.5788288
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.8583474,0.6238739,0.7133221,0.5540541
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.82630694,0.4189189,0.53457,0.3445946
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.96032554,0.39402175,0.8341811,0.33423913
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.95930827,0.4660326,0.8280773,0.40625
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.6694772,0.5585586,0.306914,0.4864865
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.8583474,0.6621622,0.69477236,0.5900901
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.39966273,0.7815315,0.32209107,0.6914414
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.539629,0.22297297,0.31703204,0.14864865
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.87015176,0.8716216,0.6964587,0.8063063
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.84317034,0.3581081,0.539629,0.28603604
TRAIN,113-2020-04-29T12:29:25.085Z.jpg,pallets,0.9542218,0.3423913,0.83214647,0.27038044
